model,budget_bp,budget_frac,sensitivity_at_k,sensitivity_at_k_ci_low,sensitivity_at_k_ci_high,ppv_at_k,ppv_at_k_ci_low,ppv_at_k_ci_high,missed_cases,n_ecg,denominator_unit,event_prevalence,tp_per_1000,fp_per_1000,fn_per_1000,tn_per_1000,alerts_per_1000,misses_per_1000,false_alarms_per_1000,number_needed_to_review,n_folds,endpoint,stage,budget_frac_requested,budget_bp_requested
real_only,1000,0.1,0.1413502142299894,0.1327490659927896,0.1464228187664501,0.962162162162162,0.9108108108108108,0.9913513513513514,2163.0,18503,ECG,0.6807004827037251,96.20034030247488,3.7834478628858528,584.5001424012502,315.51606943338913,99.98378816536072,584.5001424012502,3.7834478628858528,1.0404247406395304,5,any_abnormal,raw,0.1,1000
real_only,2000,0.2,0.2716609794446773,0.2548638339939615,0.2853066652821684,0.9245945945945946,0.8733783783783784,0.9658108108108108,1834.8,18503,ECG,0.6807004827037251,184.8882186698993,15.079357660822131,495.8122640338258,304.22015963545283,199.96757633072144,495.8122640338258,15.079357660822131,1.082960433557254,5,any_abnormal,raw,0.2,2000
rla_selected,100,0.01,0.0146888823226492,0.0145744230032187,0.0147929002589934,1.0,1.0,1.0,2482.0,18503,ECG,0.6807004827037251,9.998378816536071,0.0,670.702103887189,319.2995172962749,9.998378816536071,670.702103887189,0.0,1.0,5,any_abnormal,raw,0.01,100
rla_selected,500,0.05,0.0728905178531841,0.0720307211435043,0.0739645012949674,0.9924324324324324,0.9837837837837838,1.0,2335.4,18503,ECG,0.6807004827037251,49.613603335840565,0.3782907468397876,631.0868793678844,318.9212265494351,49.99189408268036,631.0868793678844,0.3782907468397876,1.0076803631151456,5,any_abnormal,raw,0.05,500
rla_selected,1000,0.1,0.1451449049810516,0.1420985213889674,0.1473948974145859,0.988108108108108,0.9694594594594594,0.997027027027027,2153.4,18503,ECG,0.6807004827037251,98.79486187078729,1.188926294573417,581.9056208329378,318.1105910017015,99.98378816536072,581.9056208329378,1.188926294573417,1.012159555105455,5,any_abnormal,raw,0.1,1000
rla_selected,2000,0.2,0.2837756136666868,0.2782685977183345,0.2894753724558918,0.9659459459459458,0.9498648648648648,0.9805405405405404,1804.2,18503,ECG,0.6807004827037251,193.15791933516877,6.809656995552698,487.54256336855633,312.48986030072217,199.96757633072144,487.54256336855633,6.809656995552698,1.0354002668737834,5,any_abnormal,raw,0.2,2000
real_only,100,0.01,0.0578354978354978,0.0369047619047618,0.0917748917748917,0.0378378378378378,0.027027027027027,0.054054054054054,23.2,18503,ECG,0.0066474656228776,0.3783199573526512,9.62005885918342,6.269145665525022,983.7324755179388,9.998378816536071,6.269145665525022,9.62005885918342,29.6,5,mi,calibrated,0.01,100
real_only,500,0.05,0.2579220779220779,0.1501515151515151,0.3333333333333333,0.0335135135135134,0.0172972972972972,0.0475675675675675,18.4,18503,ECG,0.0066474656228776,1.6754273863163356,48.31646669636402,4.972038236561339,945.0360676807584,49.99189408268036,4.972038236561339,48.31646669636402,34.41587301587301,5,mi,calibrated,0.05,500
real_only,1000,0.1,0.3798268398268398,0.1744588744588744,0.5164285714285715,0.0237837837837837,0.0143243243243243,0.0297297297297297,15.8,18503,ECG,0.0066474656228776,2.378013246967584,97.60577491839312,4.26945237591009,895.7467594587291,99.98378816536072,4.26945237591009,97.60577491839312,45.72676767676768,5,mi,calibrated,0.1,1000
real_only,2000,0.2,0.5232034632034631,0.3796536796536796,0.6035714285714285,0.0170270270270269,0.0148648648648648,0.0222972972972972,12.0,18503,ECG,0.0066474656228776,3.4048211951481333,196.5627551355733,3.24264442772954,796.789779241549,199.96757633072144,3.24264442772954,196.5627551355733,60.281639928698745,5,mi,calibrated,0.2,2000
